OurSubjID,SubjID,ScanSession,Cortical depth,Layer,fearfulBeta,FearfulT,happyBeta,HappyT,NeutralBeta,NeutralT,Beta(F-N),t(F-N),Beta((H-N),t(H-N)
s0110,10,1,12,middle,0.0417460,20.9682,0.0421625,21.1803,0.0412378,20.6052,0.0005082,0.187188,0.000925,0.341244
s0110,10,1,13,middle,0.0411807,20.5116,0.0415291,20.6879,0.0406601,20.1469,0.0005207,0.190193,0.000869,0.318034
s0110,10,1,14,middle,0.0418288,20.3192,0.0427024,20.7464,0.0409724,19.7996,0.0008564,0.305101,0.001730,0.617478
s0110,10,1,15,superficial,0.0411362,19.7919,0.0421277,20.2718,0.0403840,19.3290,0.0007523,0.265425,0.001744,0.616455
s0110,10,1,16,superficial,0.0388330,19.2770,0.0393543,19.5385,0.0382237,18.8759,0.0006093,0.221804,0.001131,0.412359
s0110,10,1,17,superficial,0.0381662,18.8605,0.0389219,19.2368,0.0375146,18.4422,0.0006516,0.236130,0.001407,0.510969
s0110,10,1,18,superficial,0.0363360,18.4164,0.0367360,18.6218,0.0356564,17.9780,0.0006796,0.252594,0.001080,0.402039
s0110,10,1,19,superficial,0.0336588,17.5679,0.0350698,18.3069,0.0330271,17.1485,0.0006317,0.241812,0.002043,0.783381
s0110,10,1,20,superficial,0.0294618,16.4943,0.0307395,17.2120,0.0294779,16.4174,-0.0000160,-0.006579,0.001262,0.518983
s0110,10,1,21,superficial,0.0244748,12.8712,0.0244049,12.8363,0.0225413,11.7927,0.0019335,0.745697,0.001864,0.720140
