SubjID,ROI,Condition,Y
S20 (7T & 3T),IPS1-5,Neutral,1.631
S20 (7T & 3T),SPL,Neutral,-0.109
S20 (7T & 3T),FEF,Neutral,1.585
S20 (7T & 3T),AMG,Neutral,0.6009
S20 (7T & 3T),FFA,Neutral,2.9692
S24 (7T),V1,Fear,3.24
S24 (7T),V2,Fear,2.873
S24 (7T),V3,Fear,3.459
S24 (7T),V3AB,Fear,1.725
S24 (7T),hV4,Fear,4.208
S24 (7T),LO,Fear,2.537
S24 (7T),VO,Fear,3.245
S24 (7T),TO,Fear,1.144
S24 (7T),PHC,Fear,1.917
S24 (7T),IPS0,Fear,0.74
S24 (7T),IPS1-5,Fear,1.694
S24 (7T),SPL,Fear,NaN
S24 (7T),FEF,Fear,NaN
S24 (7T),AMG,Fear,1.7985
S24 (7T),FFA,Fear,5.4239
S24 (7T),V1,Happy,3.41
S24 (7T),V2,Happy,3.018
S24 (7T),V3,Happy,3.577
S24 (7T),V3AB,Happy,1.702
S24 (7T),hV4,Happy,4.239
S24 (7T),LO,Happy,2.614
S24 (7T),VO,Happy,3.183
S24 (7T),TO,Happy,0.994
S24 (7T),PHC,Happy,1.669
S24 (7T),IPS0,Happy,0.717
S24 (7T),IPS1-5,Happy,1.668
S24 (7T),SPL,Happy,NaN
S24 (7T),FEF,Happy,NaN
S24 (7T),AMG,Happy,1.5355
S24 (7T),FFA,Happy,5.2244
S24 (7T),V1,Neutral,3.24
S24 (7T),V2,Neutral,2.864
S24 (7T),V3,Neutral,3.426
S24 (7T),V3AB,Neutral,1.842
S24 (7T),hV4,Neutral,4.088
S24 (7T),LO,Neutral,2.678
S24 (7T),VO,Neutral,3.165
S24 (7T),TO,Neutral,1.112
S24 (7T),PHC,Neutral,1.76
S24 (7T),IPS0,Neutral,0.953
S24 (7T),IPS1-5,Neutral,1.978
S24 (7T),SPL,Neutral,NaN
S24 (7T),FEF,Neutral,NaN
S24 (7T),AMG,Neutral,1.7334
S24 (7T),FFA,Neutral,5.2092
